CHNSE 130XA-Pre-Advanced Modern Chinese for High-Proficiency Learners 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2f9c63b07d68ecf000d33f218bd3ab27aa358328756bd31d2a640c6f0d90f2c1087abeac9e86fb759c1a2d9a9f1be716&ReportType=2&regl=en-US;16;4.62;4.25;Xueyin Shao;CHNSE 130XA;2019
MUSIC 189R-Chamber Music Performance 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b9199e7a5f8abf1eaed4a73f3b317fb5aade4089893e878c5457443a1fc8a1b043da76f6600d2357f967b216bbb1794c&ReportType=2&regl=en-US;51;4.48;3.95;Daniel Chong;MUSIC 189R;2019
OEB 155R-Biology of Insects 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4eb1d27c4e3681a7140dcab203dafe6dd0dcb1f732337edb57121f812ec24d7c4f2b1b57cbfd7cfe599ee355011caf62&ReportType=2&regl=en-US;9;4.14;8.29;Naomi Pierce;OEB 155R;2020
HUMAN 20-A Colloquium in the Visual Arts 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=61d5a4b175e178a262331d5323df8eab48a4759b5eeadda09af719c69861392561dce5415d8b89f55b9e85b8c71ab67a&ReportType=2&regl=en-US;14;4.91;5.00;Ewa Lajer-Burcharth;HUMAN 20;2020
SOC-STD 10A-Introduction to Social Studies 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e7e32b1dbd1b607402c99eab7989fb0b1e35288cc9b6561d572be3329da61444ed039d4113d215b581b2782f2cf8bd2a&ReportType=2&regl=en-US;68;4.26;8.41;Rob Willison;SOC-STD 10A;2020
EXPOS 10-Introduction to Expository Writing 107;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9704304c02f7333e1e049fbc0c0aa33e0c4bdead7005cde51bd9bce2fb178300b5abdba3df25a021d5fa824905bc0fe2&ReportType=2&regl=en-US;10;4.71;6.43;Maria Stalford;EXPOS 10;2020
AFRAMER 123Z-American Democracy LEC;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=103e5f67ce3c37c077c628a76d58b93257542e8222301e9b27b897207486b08de467c155238a724607fee53eca7bd474&ReportType=2&regl=en-US;40;3.78;4.64;Cornel West;AFRAMER 123Z;2021
GERMAN 20B-Intermediate German 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8f999ae5a94e9b08e23e928c898efab68326747e044e6994f93e4f441b383245fbcab5c075cc71ab50bc486264ab7356&ReportType=2&regl=en-US;6;4.40;6.20;null;GERMAN 20B;2020
MUSIC 2-Foundations of Tonal Music I 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6baea7a004bdb2c006873dbf8eb5ad1217fd7d965a393f4dc1a4a94e55e27077feda097a2e7eff59104f2421ff15ce4f&ReportType=2&regl=en-US;39;4.53;2.94;Joseph Jakubowski;MUSIC 2;2019
ENGLISH 10-Literature Today 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=adcbff6686de17141c249c1e1c6feb6a3c33274b2baeef1e7354b0a3920eafac8e782e3e7cc93583cf7c1108a121f5e8&ReportType=2&regl=en-US;43;4.32;5.37;Teju Cole;ENGLISH 10;2020
